Occupation Title,Occupation Code,Employment 2024,Employment 2034,"Employment Change, 2024-2034","Employment Percent Change, 2024-2034","Occupational Openings, 2024-2034 Annual Average",Median Annual Wage 2024,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Workex Code,Typical on-the-job Training,trCode,SOC_Code,SOC_Major,Occupation_Clean,Occupation_Category,AI_Theoretical_Exposure,AI_Observed_Exposure,AI_Automation_Gap
"Physical scientists, all other","=""19-2099""",31.9,32.1,0.2,0.6,2.0,117960.0,Bachelor's degree,3,,4,,6,19-2099,19,"Physical scientists, all other","Life, Physical & Social Science",78.2,12.8,65.4
Podiatrists    * Chiropodist* Doctor of Podiatric Medicine* Foot Doctor* Foot Orthopedist* Foot and Ankle Surgeon* Orthopedic Podiatrist* Podiatric Physician,"=""29-1081""",9.7,9.9,0.2,1.8,0.3,152800.0,Doctoral or professional degree,1,,4,Internship/residency,1,29-1081,29,Podiatrists,Healthcare Practitioners,65.4,7.2,58.2
Air traffic controllers    * Air Traffic Control Operator* Air Traffic Control Specialist* Air Traffic Coordinator* Airport Tower Controller* Control Tower Operator* Enroute Controller,"=""53-2021""",24.1,24.4,0.3,1.2,2.2,144580.0,Associate's degree,4,,4,Long-term on-the-job training,3,53-2021,53,Air traffic controllers,Transportation,12.1,1.0,11.1
Anthropologists and archeologists    * Anthropologist* Applied Anthropologist* Archaeologist* Ethnoarchaeologist* Medical Anthropologist* Physical Anthropologist* Political Anthropologist* Research Anthropologist* Research Archaeologist,"=""19-3091""",8.8,9.2,0.3,3.7,0.8,64910.0,Master's degree,2,,4,,6,19-3091,19,Anthropologists and archeologists,"Life, Physical & Social Science",78.2,12.8,65.4
"Area, ethnic, and cultural studies teachers, postsecondary    * African Studies Professor* Asian Studies Professor* Black Studies Professor* Ethnology Professor* Gender Studies Professor* Latin American Studies Professor* Women's Studies Professor","=""25-1062""",14.5,14.8,0.3,2.4,1.1,84290.0,Doctoral or professional degree,1,,4,,6,25-1062,25,"Area, ethnic, and cultural studies teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Criminal justice and law enforcement teachers, postsecondary    * Criminal Justice Professor* Criminology Professor* Penology Professor","=""25-1111""",16.2,16.5,0.3,2.0,1.2,71470.0,Doctoral or professional degree,1,,4,,6,25-1111,25,"Criminal justice and law enforcement teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor","=""25-1063""",15.8,16.1,0.3,2.1,1.2,119980.0,Doctoral or professional degree,1,,4,,6,25-1063,25,"Economics teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor","=""25-1053""",9.0,9.3,0.3,2.9,0.7,87710.0,Doctoral or professional degree,1,,4,,6,25-1053,25,"Environmental science teachers, postsecondary",Education & Training,72.8,11.5,61.3
Industrial-organizational psychologists    * Engineering Psychologist* Human Resources Psychologist* I/O Psychologist* Industrial Psychologist* Management Psychologist* Organizational Psychologist* Organizational Research Consultant* Personnel Research Psychologist,"=""19-3032""",5.6,5.9,0.3,6.3,0.4,109840.0,Master's degree,2,,4,Internship/residency,1,19-3032,19,Industrial-organizational psychologists,"Life, Physical & Social Science",78.2,12.8,65.4
"Life scientists, all other    * Life Science Taxonomist","=""19-1099""",7.8,8.1,0.3,3.7,0.4,87800.0,Bachelor's degree,3,,4,,6,19-1099,19,"Life scientists, all other","Life, Physical & Social Science",78.2,12.8,65.4
Obstetricians and gynecologists    * Gynecological Oncologist* Gynecologist* Maternal-Fetal Medicine Physician* OB Specialist* OB/GYN* OB/GYN Physician* Obstetrician* Obstetrician/Gynecologist,"=""29-1218""",21.5,21.7,0.3,1.2,0.6,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1218,29,Obstetricians and gynecologists,Healthcare Practitioners,65.4,7.2,58.2
Oral and maxillofacial surgeons    * Dental Surgeon* Maxillofacial Surgeon* Oral Surgeon,"=""29-1022""",6.1,6.4,0.3,4.1,0.2,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1022,29,Oral and maxillofacial surgeons,Healthcare Practitioners,65.4,7.2,58.2
Orthodontists    * Dentofacial Orthopedics Dentist* Invisible Braces Orthodontist* Pediatric Orthodontist,"=""29-1023""",5.9,6.2,0.3,4.4,0.2,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1023,29,Orthodontists,Healthcare Practitioners,65.4,7.2,58.2
"Sociology teachers, postsecondary    * Comparative Sociology Professor* Race Relations Professor* Social Organization Professor","=""25-1067""",15.4,15.7,0.3,2.1,1.1,82540.0,Doctoral or professional degree,1,,4,,6,25-1067,25,"Sociology teachers, postsecondary",Education & Training,72.8,11.5,61.3
Zoologists and wildlife biologists    * Aquatic Biologist* Entomologist* Fish Culturist* Fishery Biologist* Herpetologist* Ichthyologist* Lepidopterist* Marine Biologist* Migratory Game Bird Biologist* Ornithologist* Protozoologist* Wildlife Biologist,"=""19-1023""",18.2,18.5,0.3,1.6,1.4,72860.0,Bachelor's degree,3,,4,,6,19-1023,19,Zoologists and wildlife biologists,"Life, Physical & Social Science",78.2,12.8,65.4
"Agricultural sciences teachers, postsecondary    * Agricultural Soil Conservation Professor* Agronomy Professor* Animal Husbandry Professor* Animal Science Professor* Aquaculture and Fisheries Professor* Farm Management Professor* Floriculture Professor* Horticulture Instructor* Olericulture Professor","=""25-1041""",10.7,11.2,0.4,4.1,0.8,86350.0,Doctoral or professional degree,1,,4,,6,25-1041,25,"Agricultural sciences teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Arbitrators, mediators, and conciliators    * Alternative Dispute Resolution Coordinator* Mediation Commissioner* Ombudsman","=""23-1022""",9.1,9.5,0.4,4.3,0.3,67710.0,Bachelor's degree,3,Less than 5 years,2,Moderate-term on-the-job training,4,23-1022,23,"Arbitrators, mediators, and conciliators",Legal,89.0,22.1,66.9
Archivists    * Digital Archivist* Film Archivist* Historical Records Administrator* Image Archivist* Museum Archivist* Processing Archivist* Reference Archivist* State Archivist,"=""25-4011""",9.3,9.7,0.4,3.8,1.1,61570.0,Master's degree,2,,4,,6,25-4011,25,Archivists,Education & Training,72.8,11.5,61.3
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor","=""25-1051""",14.0,14.4,0.4,2.6,1.0,101390.0,Doctoral or professional degree,1,,4,,6,25-1051,25,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Camera operators, television, video, and film    * Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator","=""27-4031""",36.4,36.9,0.4,1.2,2.9,68810.0,Bachelor's degree,3,,4,,6,27-4031,27,"Camera operators, television, video, and film","Arts, Design, Media & Sports",83.7,19.3,64.4
Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director,"=""11-9161""",13.2,13.6,0.4,3.0,1.0,86130.0,Bachelor's degree,3,5 years or more,1,,6,11-9161,11,Emergency management directors,Management,91.3,18.2,73.1
Genetic counselors    * Certified Genetic Counselor* Chromosomal Disorders Counselor* Mitochondrial Disorders Counselor* Prenatal Genetic Counselor,"=""29-9092""",4.0,4.3,0.4,9.3,0.3,98910.0,Master's degree,2,,4,,6,29-9092,29,Genetic counselors,Healthcare Practitioners,65.4,7.2,58.2
Judicial law clerks    * Judicial Clerk,"=""23-1012""",14.5,14.9,0.4,2.5,1.0,60400.0,Doctoral or professional degree,1,,4,,6,23-1012,23,Judicial law clerks,Legal,89.0,22.1,66.9
Materials scientists    * Metal Alloy Scientist* Plastics Scientist,"=""19-2032""",8.7,9.1,0.4,4.9,0.6,104160.0,Bachelor's degree,3,,4,,6,19-2032,19,Materials scientists,"Life, Physical & Social Science",78.2,12.8,65.4
"Pediatricians, general    * General Pediatrician* Internal Medicine Pediatrician* Neonatal Doctor* Neonatologist* Paediatrician* Pediatric Cardiologist* Pediatrist* Primary Care Pediatrician","=""29-1221""",46.4,46.8,0.4,0.8,1.2,210130.0,Doctoral or professional degree,1,,4,Internship/residency,1,29-1221,29,"Pediatricians, general",Healthcare Practitioners,65.4,7.2,58.2
"Physics teachers, postsecondary    * Aerodynamics Professor* Astrophysics Professor* Atomic Physics Professor* Ballistics Professor* Hydrodynamics Professor* Medical Physics Professor* Nuclear Physics Professor* Thermodynamics Professor","=""25-1054""",17.1,17.5,0.4,2.5,1.3,97360.0,Doctoral or professional degree,1,,4,,6,25-1054,25,"Physics teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Political science teachers, postsecondary    * Government Professor* International Relations Professor* Political Theory Professor* Public Policy Professor","=""25-1065""",21.8,22.2,0.4,2.0,1.6,94680.0,Doctoral or professional degree,1,,4,,6,25-1065,25,"Political science teachers, postsecondary",Education & Training,72.8,11.5,61.3
Radiation therapists    * Radiation Therapy Technologist* Registered Radiation Therapist,"=""29-1124""",19.2,19.6,0.4,1.9,0.9,101990.0,Associate's degree,4,,4,,6,29-1124,29,Radiation therapists,Healthcare Practitioners,65.4,7.2,58.2
"Recreation and fitness studies teachers, postsecondary    * Health and Physical Education Professor* Human Performance Professor* Kinesiology Professor* Leisure Studies Professor* Physical Education (PE) Professor* Physical Education Professor* Swimming Professor","=""25-1193""",15.4,15.7,0.4,2.4,1.1,75890.0,Doctoral or professional degree,1,,4,,6,25-1193,25,"Recreation and fitness studies teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Social sciences teachers, postsecondary, all other    * Social Science Professor* Survey Research Professor* Urban Planning Professor","=""25-1069""",20.7,21.1,0.4,1.7,1.5,75040.0,Doctoral or professional degree,1,,4,,6,25-1069,25,"Social sciences teachers, postsecondary, all other",Education & Training,72.8,11.5,61.3
"Social work teachers, postsecondary    * Family Welfare Social Work Professor* Geriatric Social Work Professor* Health Social Work Professor* Social Work Professor","=""25-1113""",17.1,17.5,0.4,2.3,1.3,76210.0,Doctoral or professional degree,1,,4,,6,25-1113,25,"Social work teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Special education teachers, all other    * Special Education Teacher for Adults with Disabilities","=""25-2059""",41.0,41.5,0.4,1.1,2.9,67430.0,Bachelor's degree,3,,4,,6,25-2059,25,"Special education teachers, all other",Education & Training,72.8,11.5,61.3
"Special education teachers, preschool    * Early Childhood Special Education Teacher* Early Childhood Special Educator* Pre-K Special Education Teacher* Pre-Kindergarten Education Intervention Teacher* Pre-Kindergarten Special Education Teacher* Special Education Preschool Teacher","=""25-2051""",29.3,29.7,0.4,1.4,2.1,62190.0,Bachelor's degree,3,,4,,6,25-2051,25,"Special education teachers, preschool",Education & Training,72.8,11.5,61.3
Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst,"=""13-2031""",50.4,51.0,0.5,1.0,3.1,87930.0,Bachelor's degree,3,,4,,6,13-2031,13,Budget analysts,Business & Financial,94.3,27.5,66.8
Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Hat Designer* Sweater Designer* Uniform Designer,"=""27-1022""",25.7,26.2,0.5,2.0,2.3,80690.0,Bachelor's degree,3,,4,,6,27-1022,27,Fashion designers,"Arts, Design, Media & Sports",83.7,19.3,64.4
Marine engineers and naval architects    * Marine Architect* Marine Equipment Engineer* Marine Structural Designer* Naval Engineer* Ships Equipment Engineer,"=""17-2121""",8.5,9.0,0.5,5.8,0.6,105670.0,Bachelor's degree,3,,4,,6,17-2121,17,Marine engineers and naval architects,Architecture & Engineering,84.8,14.7,70.1
Neurologists    * Clinical Neuromuscular Pathologist* Epileptologist* Headache Specialist,"=""29-1217""",8.3,8.8,0.5,5.4,0.3,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1217,29,Neurologists,Healthcare Practitioners,65.4,7.2,58.2
"Ophthalmologists, except pediatric    * Cornea and External Disease Physician* Viteroretinal Disease Physician","=""29-1241""",12.5,13.1,0.5,4.3,0.3,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1241,29,"Ophthalmologists, except pediatric",Healthcare Practitioners,65.4,7.2,58.2
"Physicians, pathologists    * Clinical Pathologist* Immunopathologist* Neuropathologist","=""29-1222""",12.6,13.1,0.5,4.2,0.4,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1222,29,"Physicians, pathologists",Healthcare Practitioners,65.4,7.2,58.2
Recreational therapists    * CTRS* Certified Recreational Therapist* Certified Therapeutic Recreation Specialist* Drama Therapist* Therapeutic Recreation Specialist,"=""29-1125""",16.1,16.6,0.5,3.3,1.3,60280.0,Bachelor's degree,3,,4,,6,29-1125,29,Recreational therapists,Healthcare Practitioners,65.4,7.2,58.2
School psychologists    * Educational Psychologists,"=""19-3034""",67.2,67.7,0.5,0.7,3.8,86930.0,Master's degree,2,,4,Internship/residency,1,19-3034,19,School psychologists,"Life, Physical & Social Science",78.2,12.8,65.4
Technical writers    * Assembly Instructions Writer* Documentation Writer* Engineering Writer* Handbook Writer* Specifications Writer* Technical Communicator,"=""27-3042""",56.4,56.9,0.5,0.9,4.5,91670.0,Bachelor's degree,3,Less than 5 years,2,Short-term on-the-job training,5,27-3042,27,Technical writers,"Arts, Design, Media & Sports",83.7,19.3,64.4
Chemical engineers    * Absorption and Adsorption Engineer* Chemical Process Engineer* Chemical Research Engineer* Fuels Engineer* Oxidation Engineer* Plastics Engineer* Polymerization Engineer,"=""17-2041""",21.6,22.1,0.6,2.6,1.1,121860.0,Bachelor's degree,3,,4,,6,17-2041,17,Chemical engineers,Architecture & Engineering,84.8,14.7,70.1
"Chemistry teachers, postsecondary    * Chemistry Professor* Inorganic Chemistry Professor* Organic Chemistry Professor* Physical Chemistry Professor* Phytochemistry Professor","=""25-1052""",25.4,26.0,0.6,2.2,1.9,86220.0,Doctoral or professional degree,1,,4,,6,25-1052,25,"Chemistry teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Designers, all other    * Memorial Marker Designer","=""27-1029""",28.6,29.2,0.6,2.0,2.2,66220.0,Bachelor's degree,3,,4,,6,27-1029,27,"Designers, all other","Arts, Design, Media & Sports",83.7,19.3,64.4
Electrical and electronic engineering technologists and technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electrical and Electronic Engineering Technologist* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician,"=""17-3023""",93.7,94.3,0.6,0.6,8.4,77180.0,Associate's degree,4,,4,,6,17-3023,17,Electrical and electronic engineering technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
"Law teachers, postsecondary    * Constitutional Law Professor* Contracts Law Professor* Criminal Law Professor* Environmental Law Professor* Labor Law Professor* Torts Law Professor","=""25-1112""",29.5,30.2,0.6,2.2,2.2,126650.0,Doctoral or professional degree,1,Less than 5 years,2,,6,25-1112,25,"Law teachers, postsecondary",Education & Training,72.8,11.5,61.3
Nuclear medicine technologists    * Certified Nuclear Medicine Technologist* Isotope Technologist* Nuclear Cardiology Technologist* Nuclear Medical Technologist* Radioisotope Technologist* Registered Nuclear Medicine Technologist,"=""29-2033""",20.0,20.6,0.6,3.0,0.9,97020.0,Associate's degree,4,,4,,6,29-2033,29,Nuclear medicine technologists,Healthcare Practitioners,65.4,7.2,58.2
"Orthopedic surgeons, except pediatric    * Joint Preservationist* Orthopaedic Surgeon* Orthopedic Sports Medicine Physician* Orthopedic Surgeon","=""29-1242""",14.7,15.3,0.6,4.1,0.4,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1242,29,"Orthopedic surgeons, except pediatric",Healthcare Practitioners,65.4,7.2,58.2
Paralegals and legal assistants    * Assistant Paralegal* Legal Aide* Legal Assistant* Paralegal* Summer Associate,"=""23-2011""",376.2,376.8,0.6,0.2,39.3,61010.0,Associate's degree,4,,4,,6,23-2011,23,Paralegals and legal assistants,Legal,89.0,22.1,66.9
"Religious workers, all other    * Buddhist Monk* Christian Science Nurse* Missionary* Mohel* Nun* Pastoral Worker* Prior* Sacristan* Sunday School Missionary* Traveling Missionary* Verger","=""21-2099""",88.4,89.0,0.6,0.6,11.1,45120.0,Bachelor's degree,3,,4,,6,21-2099,21,"Religious workers, all other",Community & Social Service,67.5,8.4,59.1
Calibration technologists and technicians    * Calibration Technician* Calibration Technologist* Hydrometer Calibrator,"=""17-3028""",15.8,16.5,0.7,4.7,1.4,65040.0,Associate's degree,4,,4,,6,17-3028,17,Calibration technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
Dermatologists    * Dermatopathologist* Procedural Dermatologist,"=""29-1213""",10.9,11.6,0.7,6.4,0.4,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1213,29,Dermatologists,Healthcare Practitioners,65.4,7.2,58.2
Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor,"=""27-3041""",115.8,116.5,0.7,0.6,9.8,75260.0,Bachelor's degree,3,Less than 5 years,2,,6,27-3041,27,Editors,"Arts, Design, Media & Sports",83.7,19.3,64.4
"Judges, magistrate judges, and magistrates    * Administrative Court Justice* Circuit Court Judge* County Court Judge* Criminal Court Judge* District Court Judge* Jurist* Justice* Probate Judge* Trial Court Judge* Tribal Judge","=""23-1023""",27.3,28.0,0.7,2.5,0.9,156210.0,Doctoral or professional degree,1,5 years or more,1,Short-term on-the-job training,5,23-1023,23,"Judges, magistrate judges, and magistrates",Legal,89.0,22.1,66.9
Set and exhibit designers    * Scenic Designer* Set Decorator* Set Designer* Stage Scenery Designer* Theater Set Production Designer,"=""27-1027""",31.3,32.0,0.7,2.3,2.5,66280.0,Bachelor's degree,3,,4,,6,27-1027,27,Set and exhibit designers,"Arts, Design, Media & Sports",83.7,19.3,64.4
Aerospace engineering and operations technologists and technicians    * Aerospace Engineering and Operations Technologist* Altitude Chamber Technician* Flight Data Technician* Wind Tunnel Technician,"=""17-3021""",9.3,10.1,0.8,8.1,0.9,79830.0,Associate's degree,4,,4,,6,17-3021,17,Aerospace engineering and operations technologists and technicians,Architecture & Engineering,84.8,14.7,70.1
Agricultural technicians    * Agronomy Technician* Artificial Breeding Technician* Cotton Program Technician* Feed Mill Lab Technician* Feed Research Technician* Seed Analyst* Sugarcane Research Technician* Weed Science Research Technician,"=""19-4012""",18.6,19.4,0.8,4.3,2.9,46790.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,19-4012,19,Agricultural technicians,"Life, Physical & Social Science",78.2,12.8,65.4
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist","=""19-1029""",63.7,64.5,0.8,1.2,4.8,93330.0,Bachelor's degree,3,,4,,6,19-1029,19,"Biological scientists, all other","Life, Physical & Social Science",78.2,12.8,65.4
Cardiologists    * Electrophysiology Cardiologist* Interventional Cardiologist,"=""29-1212""",19.4,20.2,0.8,4.1,0.6,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1212,29,Cardiologists,Healthcare Practitioners,65.4,7.2,58.2
"Career/technical education teachers, postsecondary    * Architectural Drafting Instructor* Automotive Technology Instructor* Aviation Maintenance Instructor* Barbering Instructor* Building Trades Instructor* Carpentry Instructor* Computer-Aided Drafting and Design Instructor* Cosmetology Instructor* Electrical Technology Instructor* Electronics Technology Instructor* HVAC Instructor* Industrial Electrical Technology Instructor* Industrial Maintenance Instructor* Machine Tool Technician Instructor* Masonry Instructor* Mechanical Maintenance Instructor* Paralegal Instructor* Residential Construction Instructor* Skin Care Instructor* Upholstery Instructor* Vocational Horticulture Instructor* Welding Instructor","=""25-1194""",122.2,123.0,0.8,0.7,8.8,61490.0,Bachelor's degree,3,Less than 5 years,2,,6,25-1194,25,"Career/technical education teachers, postsecondary",Education & Training,72.8,11.5,61.3
"Communications teachers, postsecondary    * Interpersonal Communications Professor* Journalism Professor* Professor of Communication and Writing* Professor of Rhetoric* Public Speaking Professor* Speech Professor","=""25-1122""",35.8,36.6,0.8,2.1,2.7,77800.0,Doctoral or professional degree,1,,4,,6,25-1122,25,"Communications teachers, postsecondary",Education & Training,72.8,11.5,61.3
Dietetic technicians    * Clinical Dietetic Technician* Cook Chill Technician* DTR* Dietary Aide* Dietary Technician* Nutrition Technician* Registered Diet Technician,"=""29-2051""",30.9,31.7,0.8,2.5,4.0,37040.0,Associate's degree,4,,4,,6,29-2051,29,Dietetic technicians,Healthcare Practitioners,65.4,7.2,58.2
"Geoscientists, except hydrologists and geographers    * Crystallographer* Development Geologist* Environmental Geologist* Exploration Geologist* Geochemist* Geodesist* Geologist* Geomagnetist* Geophysicist* Geoscientist* Mine Geologist* Mineralogist* Mining Production Geologist* Oceanographer* Oceanologist* Paleontologist* Petroleum Geologist* Petrologist* Research Geologist* Sedimentationist* Seismologist* Stratigrapher* Volcanologist","=""19-2042""",25.1,26.0,0.8,3.2,2.0,99240.0,Bachelor's degree,3,,4,,6,19-2042,19,"Geoscientists, except hydrologists and geographers","Life, Physical & Social Science",78.2,12.8,65.4
"Healthcare diagnosing or treating practitioners, all other    * Homeopathic Doctor* Hypnotherapist* Naturopath* Naturopathic Doctor* Naturopathic Physician","=""29-1299""",41.3,42.2,0.8,2.0,2.4,113730.0,Master's degree,2,,4,,6,29-1299,29,"Healthcare diagnosing or treating practitioners, all other",Healthcare Practitioners,65.4,7.2,58.2
Landscape architects    * Golf Course Architect* Golf Course Designer* Landscape Architect* Landscape Designer,"=""17-1012""",21.8,22.6,0.8,3.5,1.7,79660.0,Bachelor's degree,3,,4,Internship/residency,1,17-1012,17,Landscape architects,Architecture & Engineering,84.8,14.7,70.1
Microbiologists    * Bacteriologist* Clinical Microbiologist* Medical Microbiologist* Microbiological Analyst* Public Health Microbiologist* Quality Control Microbiologist* Virologist,"=""19-1022""",20.7,21.6,0.8,4.1,1.7,87330.0,Bachelor's degree,3,,4,,6,19-1022,19,Microbiologists,"Life, Physical & Social Science",78.2,12.8,65.4
"Morticians, undertakers, and funeral arrangers    * Certified Mortician* Funeral Arrangement Director* Funeral Arranger","=""39-4031""",27.5,28.4,0.8,3.1,3.2,49800.0,Associate's degree,4,,4,Long-term on-the-job training,3,39-4031,39,"Morticians, undertakers, and funeral arrangers",Personal Care & Service,28.5,2.1,26.4
Museum technicians and conservators    * Art Conservator* Art Handler* Conservation Technician* Ethnographic Materials Conservator* Museum Exhibit Technician* Objects Conservator* Paintings Conservator* Paper Conservator* Textile Conservator,"=""25-4013""",15.7,16.5,0.8,5.4,1.9,47460.0,Bachelor's degree,3,,4,,6,25-4013,25,Museum technicians and conservators,Education & Training,72.8,11.5,61.3
Radiologists    * Diagnostic Radiologist* Interventional Radiologist,"=""29-1224""",28.2,29.0,0.8,2.7,0.8,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1224,29,Radiologists,Healthcare Practitioners,65.4,7.2,58.2
"Cartographers and photogrammetrists    * Cadastral Mapper* Digital Cartographer* Engineer, Photogrammetric* Map Maker* Mapper* Orthophotography Technician* Photo Cartographer* Photogrammetrist* Topographer","=""17-1021""",13.4,14.3,0.9,6.4,1.0,78380.0,Bachelor's degree,3,,4,,6,17-1021,17,Cartographers and photogrammetrists,Architecture & Engineering,84.8,14.7,70.1
Legislators    * City Alderman* City Council Member* Congressional Representative* Councilor* Legislator* Member of Congress* Selectman* Senator* Tribal Council Member,"=""11-1031""",27.7,28.6,0.9,3.4,2.2,44810.0,Bachelor's degree,3,Less than 5 years,2,,6,11-1031,11,Legislators,Management,91.3,18.2,73.1
Nurse midwives    * Certified Nurse Midwife* Certified Nurse Midwife (CNM),"=""29-1161""",8.6,9.5,0.9,11.1,0.5,128790.0,Master's degree,2,,4,,6,29-1161,29,Nurse midwives,Healthcare Practitioners,65.4,7.2,58.2
Special effects artists and animators    * 3D Animator* Animator* Multimedia Artist* Special Effects Artist,"=""27-1014""",57.1,58.0,0.9,1.6,5.0,99800.0,Bachelor's degree,3,,4,,6,27-1014,27,Special effects artists and animators,"Arts, Design, Media & Sports",83.7,19.3,64.4
Acupuncturists    * Acupuncture Physician* Licensed Acupuncturist,"=""29-1291""",15.3,16.4,1.0,6.8,0.9,78140.0,Master's degree,2,,4,,6,29-1291,29,Acupuncturists,Healthcare Practitioners,65.4,7.2,58.2
Commercial and industrial designers    * Automobile Designer* Bank Note Designer* Bicycle Designer* Car Body Designer* Ceramic Designer* Ceramic Mold Designer* Furniture Designer* Package Designer* Rug Designer* Snowboard Designer* Textile Designer* Tile Designer* Toy Designer,"=""27-1021""",30.6,31.6,1.0,3.2,2.5,79450.0,Bachelor's degree,3,,4,,6,27-1021,27,Commercial and industrial designers,"Arts, Design, Media & Sports",83.7,19.3,64.4
Conservation scientists    * Conservation Science Officer* Grassland Conservationist* Land Reclamation Specialist* Land Resource Specialist* Range Conservationist* Range Ecologist* Range Scientist* Resource Conservationist* Soil Conservationist* Water Conservationist,"=""19-1031""",28.5,29.5,1.0,3.4,2.5,67950.0,Bachelor's degree,3,,4,,6,19-1031,19,Conservation scientists,"Life, Physical & Social Science",78.2,12.8,65.4
Emergency medicine physicians    * Critical Care Physician* Disaster Medicine Physician* Emergency Medicine Specialist,"=""29-1214""",36.1,37.1,1.0,2.7,1.0,,Doctoral or professional degree,1,,4,Internship/residency,1,29-1214,29,Emergency medicine physicians,Healthcare Practitioners,65.4,7.2,58.2
"Engineering technologists and technicians, except drafters, all other    * Agricultural Engineering Technician* Agricultural Engineering Technologist* Biomedical Engineering Technician* Biomedical Engineering Technologist* Chemical Engineering Technician* Chemical Engineering Technologist* Marine Engineering Technician* Marine Engineering Technologist* Materials Engineering Technician* Materials Engineering Technologist* Metallurgical Engineering Technician* Metallurgical Engineering Technologist* Non-Destructive Testing Specialist* Nuclear Engineering Technician* Nuclear Engineering Technologist* Optical Engineering Technician* Optical Engineering Technologist* Ordnance Engineering Technician* Ordnance Engineering Technologist* Radar Technicians* Salvage Engineering Technician* Salvage Engineering Technologist* Sonar Technicians","=""17-3029""",67.3,68.3,1.0,1.5,5.7,77390.0,Associate's degree,4,,4,,6,17-3029,17,"Engineering technologists and technicians, except drafters, all other",Architecture & Engineering,84.8,14.7,70.1
Food science technicians    * Flavor Technician* Food Quality Control Technician* Food Quality Technician,"=""19-4013""",20.4,21.3,1.0,4.8,3.2,49430.0,Associate's degree,4,,4,Moderate-term on-the-job training,4,19-4013,19,Food science technicians,"Life, Physical & Social Science",78.2,12.8,65.4
Food scientists and technologists    * Dairy Bacteriologist* Enologist* Food Preservation Scientist* Food Processing Scientist* Food Safety Scientist* Food Scientist* Food Technologist,"=""19-1012""",15.2,16.2,1.0,6.5,1.2,85310.0,Bachelor's degree,3,,4,,6,19-1012,19,Food scientists and technologists,"Life, Physical & Social Science",78.2,12.8,65.4
Physicists    * Computational Physicist* Condensed Matter Physicist* Fluid Dynamicist* Health Physicist* Mathematical Physicist* Medical Physicist* Molecular Physicist* Nuclear Physicist* Optical Scientist* Plasma Physicist* Research Physicist* Rheologist* Thermodynamic Physicist* Thermodynamicist,"=""19-2012""",24.6,25.6,1.0,4.0,1.7,166290.0,Doctoral or professional degree,1,,4,,6,19-2012,19,Physicists,"Life, Physical & Social Science",78.2,12.8,65.4
